Company,Title,Location,Salary
Salesforce,Applied Scientist,"Chicago, IL 60654 (River North area)",82400
InspiHER Tech,DATA SCIENTIST,"Chicago, IL",87500
Lightyear Health,Data Scientist,New York State•Remote,100000
CKM Analytix,Senior Data Scientist,"New York, NY 10018 (Garment District area)•Temporarily Remote",140000
NYC Careers,ASSOCIATE DATA SCIENTIST,"Manhattan, NY",77085
Dataworks,Senior Data Scientist,"New York, NY•Temporarily Remote",147500
NYC Careers,Data Scientist - Policy Analytics,"Manhattan, NY",85132
NYC Careers,"newCity Research Scientist II / Data Analyst, Bureau of HIV","Queens, NY 11101",85132
Fund For Public Health In New York Inc,Data Scientist,"Long Island City, NY 11101",90000
Purpose,"newData Analytics / Data Science Lead, Impact Measurement & Lea...","New York, NY•Remote",100000
NYC Careers,Geospatial Data Scientist,"New York, NY 10013 (Lower East Side area)",97735
NYC Health + Hospitals,Data Scientist,"New York, NY 10004 (Financial District area)",89754
Orsus Research,Quantitative Researcher,"New York, NY 10022 (Midtown area)•Temporarily Remote",152334
S&P Global,Sr. Data Scientist,"New York, NY 10041 (Financial District area)",105900
Starry,Senior Data Analyst,New York State•Remote,100000
Fund For Public Health In New York Inc,Senior Data Analyst - Visualization and Reporting,"Long Island City, NY 11101•Remote",90803
"Amazon Web Services, Inc.",Data Scientist - ProServe,"New York, NY+1 location",114700
S&P Global,Lead Data Scientist,"New York, NY 10041 (Financial District area)+2 locations•Remote",128850
Allstate,Arity- Data Scientist- Full Time,"Northbrook, IL•Remote",89000
Cohesion IB,Data Scientist,"Chicago, IL•Temporarily Remote",108706
Inspihertech,DATA SCIENTIST,"Chicago, IL•Remote",165000
RiverTowns Group,Data Scientist,"Chicago, IL 60661 (West Loop Gate area)",96000
Modern Agile Technologies,Sr. Data Scientist,"Chicago, IL•Temporarily Remote",123000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Chicago, IL",155700
Glassdoor,Machine Learning Scientist,"Chicago, IL",123650
IMC Financial Markets,newQuantitative Researcher,"Chicago, IL",150000
Blue Cross Blue Shield Association,Senior Data Analyst (Healthcare),"Chicago, IL 60601 (The Loop area)",92500
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Chicago, IL+1 location•Remote",155700
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Chicago, IL",114700
One Hope United,CQRI Senior Data Analyst,"Chicago, IL 60604 (The Loop area)",60000
Digital Resource Group LLC,Data Science Manager,"Chicago, IL",140000
SonderMind (all cities),"Software Engineer, Data Science","Chicago, IL",110000
S&P Global,Lead Data Scientist,"Chicago, IL 60601 (Loop area)•Remote",128850
Alight,Conversational AI Analyst,"Chicago, IL 60601 (Loop area)",75000
Barrow Wise Consulting,Master Data Manager,"Chicago, IL 60661 (Near West Side area)•Temporarily Remote",117500
Myticas Consulting ULC,Data Scientist,"Chicago, IL",135000
Harnham,Director of Machine Learning and Artificial Intelligence,"Chicago, IL",225000
Allstate,Data Science Senior Manager (Remote - Home Based Worker),"Northbrook, IL•Remote",148300
Glassdoor,Machine Learning Scientist,"San Francisco, CA+1 location",145450
Slack,"Staff Data Scientist, Virtual HQ","San Francisco, CA+1 location",142400
Chime,"Senior Data Scientist, Product","San Francisco, CA 94108 (Chinatown area)+1 location",183500
Salesforce,"Staff Data Scientist, Virtual HQ - Slack","San Francisco, CA 94105 (South Beach area)+3 locations",142400
Warman O'Brien,Data Scientist,"San Francisco, CA•Temporarily Remote",130000
Slack,"Staff Data Scientist, Expansion","San Francisco, CA",142400
Salesforce,"Staff Data Scientist, Virtual HQ - Slack","San Francisco, CA 94105 (South Beach area)",142400
Chime,"Senior Data Scientist, Fraud/Risk","San Francisco, CA 94108 (Chinatown area)",183499
"Grammarly, Inc.","Product Manager, Machine Learning","San Francisco, CA 94104 (Financial District area)+2 locations•Remote",200000
"Grammarly, Inc.","Product Manager, Machine Learning","San Francisco, CA 94104 (Financial District area)•Remote",200000
Valkyrie,Senior Data Scientist,"Austin, TX 78701 (Downtown area)",112500
Teacher Retirement System of Texas,Health Data Analyst or Senior Analyst,"Austin, TX",65500
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Austin, TX",116200
Liaison AI,Machine Learning Engineer,"Austin, TX 78704 (South Lamar-South Congress area)+1 location",47500
S&P Global,Lead Data Scientist,"Austin, TX 73301 (St Edwards area)•Remote",128850
SonderMind (all cities),"Software Engineer, Data Science","Austin, TX",110000
"Amazon Web Services, Inc.","Principal, Data Scientist ProServe","Austin, TX",122300
Mandiant,Staff Data Scientist - REMOTE USA,"Austin, TX•Remote",140000
Applied Research Laboratories,Signal Processing and Data Analysis Software Engineering Sci...,"Austin, TX 78758 (North Burnett area)",109000
Travis County,Planner (Juvenile Justice Statistician),"Austin, TX 78701 (Downtown area)",56605
spar information systems,"Data Science, ML Engineer/Lead","Austin, TX•Temporarily Remote",101052
Glassdoor,Machine Learning Scientist,"Austin, TX+1 location",123650
Glassdoor,Machine Learning Scientist,"Austin, TX",123650
Valkyrie Intelligence,Senior Data Science Engineer,"Austin, TX 78701 (Downtown area)•Temporarily Remote",112500
spar information systems,Data Scientist ML researcher,"Philadelphia, PA•Temporarily Remote",106354
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Philadelphia, PA",114700
Glassdoor,Machine Learning Scientist,"Chicago, IL+1 location",123650
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"San Diego, CA",114700
San Diego Gas & Electric,Senior Data Scientist - Risk - 21-61363,"San Diego, CA 92123 (Kearny Mesa area)",140900
Compass Life Sciences,Director of Statistics US - Global Pharma,United States•Remote,230000
CyberCoders,newSenior Machine Learning Engineer - AI / Deep Learning,"San Diego, CA 92121",170000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Los Angeles, CA",155700
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Los Angeles, CA•Remote",112700
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Los Angeles, CA+1 location•Remote",155700
DIRECTV,Senior Data Analyst,"Los Angeles, CA",127350
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)",114700
Outdefine,newMachine Learning Engineer,"El Segundo, CA 90245•Remote",159755
Los Angeles Homeless Services Authority,Sr. Data Analyst,"Los Angeles, CA 90017 (Downtown area)",73409
spar information systems,newSr. Data Analyst,"Los Angeles, CA•Temporarily Remote",78613
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)",116200
Southern California Association of Governments,Assistant Regional Planner - Data Science,"Los Angeles, CA 90017 (Downtown area)•Temporarily Remote",81900
"Amazon Web Services, Inc.",Associate Data & Machine Learning Engineer,"Los Angeles, CA",82600
CyberCoders,new100% REMOTE Sr. Data Scientist,"Los Angeles, CA 90015•Remote",150000
Glassdoor,"Senior Product Manager, Machine Learning","Los Angeles, CA",148500
spar information systems,AI/ML Engineer (MAF Framework),"Philadelphia, PA•Temporarily Remote",75053
PSCI,Senior Business Data Analyst,"Wilmington, DE 19801 (Trinity Vicinity area)",105000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Atlanta, GA",155700
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Atlanta, GA•Remote",112700
Globalpointinc.com,newLead Data Scientist,"Alpharetta, GA•Remote",137825
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Atlanta, GA+1 location•Remote",155700
Salesforce,Applied Scientist,"Atlanta, GA 30326 (Lenox area)",82400
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Atlanta, GA",114700
CEDENT,Sr Data Scientist,"Atlanta, GA",117500
"Centers for Disease Control & Prevention, National...",Service Fellow / Statistician,"Chamblee, GA 30341•Temporarily Remote",89000
Harnham,Lead Data Scientist,"Atlanta, GA",170000
S&P Global,Lead Data Scientist,"Atlanta, GA 30301 (Buckhead area)•Remote",128850
Atlanta Regional Commission,"Data Analyst, Senior","Atlanta, GA 30303 (Downtown area)",63248
Symphony RetailAI,Data Architect,"Atlanta, GA 30338•Remote",130735
Western Union,"Leader, Data and Pricing Science","Alpharetta, GA",130774
Interos,"newSenior Software Engineer, Data","Atlanta, GA 30349",102733
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Atlanta, GA 30326 (Lenox area)",121800
"City of Dallas, TX",newDBI-Data Science Analyst I (Non-Civil Service),"Dallas, TX 75201 (Government District area)",64863
Valkyrie Intelligence,Senior Data Scientist,"Dallas-Fort Worth, TX•Temporarily Remote",112500
OnPoint,Senior Data Scientist,"Dallas, TX 75201",130000
Edgetensor Technologies,newComputer Vision/Machine Learning Engineer (FT),"Dallas, TX",115000
Keasis Inc.,Machine Learning Engineer (Full time/ No third party consult...,"Irving, TX•Temporarily Remote",92391
Keasis Inc.,Machine Learning Engineer (No third party consultants),"Irving, TX•Temporarily Remote",97391
AT&T,Senior Data Analyst,"Dallas, TX",127350
Cottonwood Financial,Data Scientist - Marketing Analytics,"Irving, TX 75038 (Cottonwood area)+1 location",75850
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Dallas, TX",116200
