Company,Title,Location,Salary
Salesforce,Applied Scientist,"Chicago, IL 60654 (River North area)","$82,400 a year"
InspiHER Tech,DATA SCIENTIST,"Chicago, IL","$75,000 - $100,000 a year"
Lightyear Health,Data Scientist,New York State•Remote,"$90,000 - $110,000 a year"
CKM Analytix,Senior Data Scientist,"New York, NY 10018 (Garment District area)•Temporarily Remote","$100,000 - $180,000 a year"
NYC Careers,ASSOCIATE DATA SCIENTIST,"Manhattan, NY","$71,707 - $82,463 a year"
Dataworks,Senior Data Scientist,"New York, NY•Temporarily Remote","$120,000 - $175,000 a year"
NYC Careers,Data Scientist - Policy Analytics,"Manhattan, NY","$75,504 - $94,761 a year"
NYC Careers,"newCity Research Scientist II / Data Analyst, Bureau of HIV","Queens, NY 11101","$75,504 - $94,761 a year"
Fund For Public Health In New York Inc,Data Scientist,"Long Island City, NY 11101","$85,000 - $95,000 a year"
Purpose,"newData Analytics / Data Science Lead, Impact Measurement & Lea...","New York, NY•Remote","$80,000 - $120,000 a year"
NYC Careers,Geospatial Data Scientist,"New York, NY 10013 (Lower East Side area)","$84,468 - $111,003 a year"
NYC Health + Hospitals,Data Scientist,"New York, NY 10004 (Financial District area)","$59,508 - $120,000 a year"
Orsus Research,Quantitative Researcher,"New York, NY 10022 (Midtown area)•Temporarily Remote","$63,919 - $240,750 a year"
S&P Global,Sr. Data Scientist,"New York, NY 10041 (Financial District area)","$55,900 - $155,900 a year"
Starry,Senior Data Analyst,New York State•Remote,"$90,000 - $110,000 a year"
Fund For Public Health In New York Inc,Senior Data Analyst - Visualization and Reporting,"Long Island City, NY 11101•Remote","$84,468 - $97,138 a year"
"Amazon Web Services, Inc.",Data Scientist - ProServe,"New York, NY+1 location","$114,700 a year"
S&P Global,Lead Data Scientist,"New York, NY 10041 (Financial District area)+2 locations•Remote","$67,600 - $190,100 a year"
Allstate,Arity- Data Scientist- Full Time,"Northbrook, IL•Remote","$84,000 - $94,000 a year"
Cohesion IB,Data Scientist,"Chicago, IL•Temporarily Remote","$104,446 - $112,967 a year"
Inspihertech,DATA SCIENTIST,"Chicago, IL•Remote","Up to $165,000 a year"
RiverTowns Group,Data Scientist,"Chicago, IL 60661 (West Loop Gate area)","$66,000 - $126,000 a year"
Modern Agile Technologies,Sr. Data Scientist,"Chicago, IL•Temporarily Remote","$120,000 - $126,000 a year"
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Chicago, IL","Up to $155,700 a year"
Glassdoor,Machine Learning Scientist,"Chicago, IL","$109,900 - $137,400 a year"
IMC Financial Markets,newQuantitative Researcher,"Chicago, IL","$150,000 a year"
Blue Cross Blue Shield Association,Senior Data Analyst (Healthcare),"Chicago, IL 60601 (The Loop area)","$85,000 - $100,000 a year"
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Chicago, IL+1 location•Remote","Up to $155,700 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Chicago, IL","$114,700 a year"
One Hope United,CQRI Senior Data Analyst,"Chicago, IL 60604 (The Loop area)","$60,000 a year"
Digital Resource Group LLC,Data Science Manager,"Chicago, IL","From $140,000 a year"
SonderMind (all cities),"Software Engineer, Data Science","Chicago, IL","$95,000 - $125,000 a year"
S&P Global,Lead Data Scientist,"Chicago, IL 60601 (Loop area)•Remote","$67,600 - $190,100 a year"
Alight,Conversational AI Analyst,"Chicago, IL 60601 (Loop area)","$75,000 a year"
Barrow Wise Consulting,Master Data Manager,"Chicago, IL 60661 (Near West Side area)•Temporarily Remote","$90,000 - $145,000 a year"
Myticas Consulting ULC,Data Scientist,"Chicago, IL","$135,000 a year"
Harnham,Director of Machine Learning and Artificial Intelligence,"Chicago, IL","$200,000 - $250,000 a year"
